Timestamp,Time,Background
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=1729,00:28:49,https://www.heise.de/news/Musikbranche-will-Debatte-um-Netzneutralitaet-mitgestalten-1062651.html
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=1777,00:29:37,https://www.ndr.de/der_ndr/presse/mitteilungen/pressemeldungndr6478.html
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=1810,00:30:10,https://www.youtube.com/watch?v=yW405x_18_0
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=1858,00:30:58,https://www.dw.com/de/indiens-neue-pillen-patente/a-1123846
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=1919,00:31:59,https://www.sueddeutsche.de/karriere/urteil-kinderporno-besitz-muss-beamte-nicht-den-job-kosten-1.990388
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2000,00:33:20,https://www.googlewatchblog.de/2010/08/google-street-view-startet-noch-2010-in-deutschland/
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2039,00:33:59,https://www.youtube.com/watch?v=0TOqikZTBMY
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2074,00:34:34,https://en.wikipedia.org/wiki/Seadragon_Software
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2165,00:36:05,https://www.spiegel.de/netzwelt/netzpolitik/einsprueche-gegen-street-view-wie-sie-googles-auge-blenden-a-712288.html
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2198,00:36:38,https://www.fs-ev.org/fileadmin/user_upload/90_Archiv/FS-Pub-Archiv-final/FS-2010-152%20AKN%20%C3%9Cbungen%20zum%20radiologischen%20und%20nuklearen%20Notfallschutz%20-%20Planung%20-%20Durchf%C3%BChrung%20-%20Auswertung%20-%20Seminar.pdf
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2261,00:37:41,https://www.sueddeutsche.de/panorama/prenzlauer-berg-caesium-in-der-strasse-das-strahlenraetsel-von-berlin-1.986486
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2304,00:38:24,https://frank.geekheim.de/?p=1020
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2320,00:38:40,https://de.wikipedia.org/wiki/Radiometrische_F%C3%BCllstandmessung
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2402,00:40:02,https://frank.geekheim.de/?p=1069
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2447,00:40:47,https://www.tagesspiegel.de/berlin/falsche-post-vom-amt-anwohner-zum-strahlentest-zitiert-6480676.html
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2520,00:42:00,https://de.wikipedia.org/wiki/U-Boot#Kommunikation
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2597,00:43:17,https://en.wikipedia.org/wiki/ZEVS_(transmitter)
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2599,00:43:19,https://en.wikipedia.org/wiki/Project_Sanguine
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2717,00:45:17,https://de.wikipedia.org/wiki/SLOT-Boje
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2764,00:46:04,https://en.wikipedia.org/wiki/Ultra_low_frequency
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2830,00:47:10,https://en.wikipedia.org/wiki/Boeing_E-6_Mercury
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2880,00:48:00,https://www.debka.com/russian-s-300s-in-abkhazia-block-possible-israeli-air-route-to-iran/
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2900,00:48:20,https://de.wikipedia.org/wiki/S-300_(Flugabwehrraketensystem)
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=2957,00:49:17,https://en.wikipedia.org/wiki/2010_Israeli_Air_Force_CH-53_crash
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=3066,00:51:06,https://web.archive.org/web/20100805051510/http://www.timesonline.co.uk/tol/news/world/middle_east/article7148555.ece
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=3187,00:53:07,https://www.reuters.com/article/nuclear-iran-russia-bushehr-idUSGEE5AT12420091130
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=3264,00:54:24,https://www.reuters.com/article/us-russia-iran-missiles-idUSL1626058820070116
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=3299,00:54:59,https://www.bbc.com/news/10839342
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=3329,00:55:29,https://www.npr.org/sections/thetwo-way/2010/08/20/129333260/combat-brigades-still-in-iraq-just-renamed
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=3421,00:57:01,https://wiki.piratenpartei.de/Liquid_Democracy#Einf.C3.BChrung
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=3445,00:57:25,https://de.wikipedia.org/wiki/Demokratischer_Zentralismus
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=3600,01:00:00,https://de.wikipedia.org/wiki/LiquidFeedback
http://alternativlos.cdn.as250.net/alternativlos-3.ogg#t=3720,01:02:00,https://www.tagesspiegel.de/berlin/polizei-justiz/namensschilder-fur-polizisten-seit-60-jahren-thema-1843252.html
